"","Gene","SPM.vs.Other","SM.vs.Other","FM.vs.Other","AveExpr","F","P.Value","adj.P.Val"
"52","GRMZM2G051571",-0.840557896696539,-0.80690016408294,1.64745806077948,7.08512108284144,33.4461121951764,2.98220869777682e-15,1.2429679131866e-12
"53","GRMZM2G163406",-1.25215258903139,-0.36707667416949,1.61922926320088,5.44684492359417,33.4285712031962,3.03498108352022e-15,1.2429679131866e-12
"54","GRMZM2G466044",-0.249967458703724,-1.42444470604186,1.67441216474558,8.02602899432555,33.2308089601944,3.69864832270102e-15,1.48671963875089e-12
"55","GRMZM2G021624",-1.2116368512659,-0.301017736365429,1.51265458763133,5.62210242331286,32.9797126889378,4.7543676744813e-15,1.8763328134962e-12
"56","GRMZM2G176548",-0.915018528550314,-0.655327108906929,1.57034563745724,5.67942074784848,32.8855617401692,5.223745402901e-15,2.02476103063159e-12
"57","GRMZM2G066067",-1.16625455860479,-0.323571863269002,1.48982642187379,5.67418965367429,32.5493699379573,7.31119296646469e-15,2.78415358824706e-12
"58","GRMZM2G109262",-1.07027825326861,-0.426833727436478,1.49711198070509,5.73534368399964,32.5301368567638,7.45317069240371e-15,2.7892848801606e-12
"59","GRMZM2G050412",-1.24841368711911,-0.356421550179688,1.6048352372988,5.41309373137876,32.3725108970449,8.72563720807415e-15,3.21014713963487e-12
"60","GRMZM2G012046",-1.13319897741576,-0.24256928084827,1.37576825826403,6.1332174548173,32.0339100143552,1.22419230975476e-14,4.42871971258948e-12
"61","GRMZM5G819464",-0.483748881127302,-1.24559085937137,1.72933974049867,8.00245457105775,31.9181022032168,1.37449872182096e-14,4.89096217308945e-12
"62","GRMZM2G043737",-0.337431604041683,-1.1319594993704,1.46939110341208,6.70962038937038,31.8197466829891,1.51656001027683e-14,5.30942767468852e-12
"63","GRMZM2G148074",-1.14670748595477,-0.233365268783716,1.38007275473849,5.93727994891141,31.7187577378958,1.67771636810126e-14,5.78039864857236e-12
"64","GRMZM2G007651",-1.01752739962505,-0.404172557595938,1.42169995722099,6.24814473055475,31.6873315497117,1.73127780626484e-14,5.8717368848101e-12
"65","GRMZM2G156632",-1.27261652435846,-0.247007418624987,1.51962394298344,5.48398318345576,31.4975343126022,2.09312254005236e-14,6.98974120836562e-12
"66","GRMZM5G880028",-0.747667683412882,-0.736344076588357,1.48401176000124,6.36198206068992,31.478494541632,2.13335692511623e-14,7.01615839645045e-12
"67","GRMZM2G101511",-1.19658192689933,-0.361855630936901,1.55843755783624,5.43330294281163,30.9864757209103,3.48935037879128e-14,1.13044536301558e-11
"68","GRMZM2G147014",-0.341813228026871,-1.12278372858055,1.46459695660742,6.86367654004775,30.9285948968049,3.69727626922819e-14,1.18019233382158e-11
"69","GRMZM2G013986",1.09209318843994,0.542272439692828,-1.63436562813277,7.78295358717005,30.6935938587324,4.6767220281491e-14,1.47120186004354e-11
"70","AC233865.1-FG001",-0.181074253366015,-1.33732281091594,1.51839706428195,7.69148154079631,30.6765058952455,4.75732438718401e-14,1.4751783306888e-11
"71","GRMZM2G007939",0.933100335779169,0.712556188447592,-1.64565652422676,7.04846221005953,30.5063800167609,5.63958953373947e-14,1.72412578055421e-11
"72","AC234163.1-FG002",-0.615527054415059,-0.855360783941738,1.4708878383568,6.53202603872176,30.3296637035183,6.72968002801837e-14,2.02881159289121e-11
"73","GRMZM2G080992",-0.956053578689502,-0.468796072141541,1.42484965083104,5.84976857334907,30.0621586446814,8.79367450909888e-14,2.6147328615685e-11
"74","AC210013.4-FG018",-0.769787463645328,-0.673440454661967,1.44322791830729,6.37213706404946,30.0395661591662,8.99460670535344e-14,2.63833693441084e-11
"75","GRMZM2G396248",-1.07987242252722,-0.339759847421773,1.419632269949,5.63649120890969,29.0626913277156,2.38909559264298e-13,6.9143611911878e-11
"76","GRMZM2G365298",-0.937715067854841,-0.433679114285212,1.37139418214005,6.02119267699788,29.0260343072583,2.47829767141475e-13,7.07814858628007e-11
"77","GRMZM2G135165",-1.31653594015008,0.0370316459752122,1.27950429417486,5.67541844741785,28.9202956379612,2.75470558435487e-13,7.76540771610479e-11
"78","GRMZM2G169966",-0.456407489627105,-0.983225128677857,1.43963261830496,6.89620096005767,28.3305278280758,4.96830323717327e-13,1.38258961623183e-10
"79","AC217050.4-FG006",-0.237051113997906,-1.10493538447517,1.34198649847307,6.47475152099787,28.3045401514569,5.09911021807844e-13,1.3926483497069e-10
